Titulo_original;Titulo_encontrado;Fuente;Anio;Sinopsis;Poster_URL;Generos;Desarrolladores;Editores;Puntuacion_Usuario;Metascore;URL_Slug
A Plague Tale - Requiem v1.6.0.0;A Plague Tale: Requiem;RAWG;2022.0;Lejos, al otro lado del mar, una isla llama... Embárcate en un desgarrador viaje por un mundo brutal y sobrecogedor, retorcido por fuerzas sobrenaturales. Tras escapar de su devastada tierra natal, Amicia y Hugo viajan hacia el sur, a nuevas regiones y ciudades vibrantes, intentando comenzar una nueva vida y controlar la maldición de Hugo. Pero cuando los poderes de Hugo despiertan de nuevo, la muerte y la destrucción regresan en una marea de ratas devoradoras. Descubre el precio de salvar a quienes amas en una desesperada lucha por sobrevivir.;https://media.rawg.io/media/games/cd0/cd074f3f6045297cda9ad077273c09b6.jpg;Action, Adventure;Asobo Studio;Focus Home Interactive, Focus Entertainment;4.28;;a-plague-tale-requiem
A Way Out v1.2.0.2;A Way Out;RAWG;2018.0;Dos presos en una cárcel estadounidense de principios de los años 70 deciden escapar juntos. A Way Out es un juego de aventuras en tercera persona donde la historia se narra simultáneamente para dos personajes. Solo se puede jugar en cooperativo, ya sea en pantalla dividida local o en línea.;https://media.rawg.io/media/games/473/473bd9a5e9522629d6cb28b701fb836a.jpg;Action, Adventure;Electronic Arts, Hazelight;Electronic Arts;4.12;78.0;a-way-out-2018
Adams Venture Origins Special Edition;Adam's Venture: Origins;RAWG;2016.0;Embárcate en una audaz aventura en Adam's Venture: Origins. Ambientada en los años 20, explorarás ruinas antiguas y recuperarás misteriosos artefactos junto a tu compañera Evelyn, mientras os enfrentáis a la malévola empresa Clairvaux. Cuenta con ingeniosos puzles, un gancho para escalar y una rica narrativa con trasfondo histórico.;https://media.rawg.io/media/screenshots/4fb/4fb79be2a7df903504c20d9fe6f545d7.jpg;Adventure, Indie;SOEDESCO Publishing, Vertigo Games;Soedesco;2.62;;adams-venture-origins
Alan Wake 2 v1.2.2;Alan Wake 2;RAWG;2023.0;Alan Wake 2 es un survival horror de atmósfera intensa y una retorcida historia psicológica en capas. Es la esperada secuela del aclamado thriller psicológico de 2010 y de Alan Wake Remastered.;https://media.rawg.io/media/games/5b9/5b963d7633cd640fa2dbc4069d1c6377.jpg;Action;Remedy Entertainment;Epic Games Publishing;4.34;;alan-wake-2
Alan Wake Remastered;Alan Wake;RAWG;2010.0;El superventas de thrillers psicológicos Alan Wake sufre un bloqueo creativo cuando, durante unas vacaciones, es atacado por una oscuridad sobrenatural que posee a personas y animales. Combina acción y horror: los enemigos 'Poseídos' deben ser iluminados antes de poder ser derrotados. El juego tiene el ritmo de una serie de TV, narrada en episodios.;https://media.rawg.io/media/games/5c0/5c0dd63002cb23f804aab327d40ef119.jpg;Action, Shooter, Adventure;Remedy Entertainment;Microsoft Studios, THQ Nordic, Remedy Entertainment;4.09;83.0;alan-wake
Alice - Madness Returns Complete Edition;Alice: Madness Returns;RAWG;2011.0;Secuela de American McGee's Alice. Alice Liddell debe luchar a través de la retorcida versión de El País de las Maravillas que habita en su mente, descubriendo un oscuro secreto enterrado en sus recuerdos.;https://media.rawg.io/media/games/0b5/0b5410b1e4b3fb72696dcefbf4f1cf40.jpg;Action, Adventure;Electronic Arts, Spicy Horse;Electronic Arts;4.02;75.0;alice-madness-returns
American Truck Simulator v1.52.0.6;American Truck Simulator;RAWG;2016.0;Conduce por los Estados Unidos en una simulación de camiones realista. Gestiona el combustible, el descanso y las entregas de mercancías por carreteras y ciudades americanas fielmente recreadas. El mapa se ha reescalado para una experiencia aún más inmersiva.;https://media.rawg.io/media/screenshots/135/135a00cf33b0c860fcb366747e95b89b.jpg;Simulation, Indie;SCS Software;SCS Software;3.99;76.0;american-truck-simulator
Ancestors - The Humankind Odyssey v1.4;ANCESTORS: The Humankind Odyssey;RAWG;2019.0;Ancestors: The Humankind Odyssey es un juego de supervivencia en mundo abierto en tercera persona donde guías la evolución de un clan de homínidos a lo largo de millones de años. Aprende, evoluciona y adáptate para sobrevivir en una África prehistórica llena de peligros.;https://media.rawg.io/media/games/3ac/3acc7d1846c7c8206fdbc01fd8f2de54.jpg;Action, Adventure, RPG, Indie;Panache Digital Games;Private Division;3.04;69.0;ancestors-the-humankind-odyssey
Arco v15475793;Arco (itch);RAWG;2016.0;Arco es un shooter en tercera persona centrado en enfrentar al jugador contra oleadas de enemigos coloridos y estilizados en combates frenéticos.;https://media.rawg.io/media/screenshots/aeb/aeb4e25717f965eeb61488b786d92af8.jpg;Shooter;Poptart512, Trident's Surge;;0.0;;arco
Armored Core;Armored Core VI: Fires of Rubicon;RAWG;2023.0;Acción mecánica dinámica y veloz. Basado en el conocimiento obtenido durante operaciones conjuntas, los jugadores ensamblan y personalizan su propio Armored Core para enfrentarse a intensas misiones de combate en el planeta Rubicon 3.;https://media.rawg.io/media/games/c97/c97aba78a97038867d4b32a81fe48567.jpg;Action;FromSoftware;Bandai Namco Entertainment, FromSoftware, From Software;4.14;;armored-core-vi
Assassin's Creed 3 Complete Edition;Assassin's Creed III;RAWG;2012.0;La quinta entrega principal de la saga. Ambientada durante la Guerra de Independencia de Estados Unidos, los jugadores controlan a Connor, un asesino de origen nativo americano e inglés, que lucha contra la influencia de los Templarios en una joven nación.;https://media.rawg.io/media/games/275/2759da6fcaa8f81f21800926168c85f6.jpg;Action;Ubisoft Montreal;Ubisoft Entertainment;3.75;80.0;assassins-creed-iii-2
Assassin's Creed IV - Black Flag Jackdaw Edition v1.08;Assassin's Creed IV: Black Flag;RAWG;2013.0;Una aventura pirata en la Edad de Oro de la piratería. Como Edward Kenway, surca el Caribe, aborda barcos, asalta fuertes y descubre una antigua conspiración que conecta a la Hermandad de los Asesinos con los Templarios.;https://media.rawg.io/media/games/849/849414b978db37d4563ff9e4b0d3a787.jpg;Action;Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Bucharest;Ubisoft Entertainment;4.16;85.0;assassins-creed-iv-black-flag
Assassin's Creed Liberation HD;Assassin's Creed Liberation HD;RAWG;2013.0;Juega como Aveline de Grandpré, una asesina en la Nueva Orleans prerrevolucionaria. Usa disfraces e ingenio para luchar por la libertad en este capítulo remasterizado en HD del universo Assassin's Creed.;https://media.rawg.io/media/games/ffd/ffd241ae3648999c599917f40cf78ca2.jpg;Action, Adventure;Ubisoft, Ubisoft Montreal, Ubisoft Milan, Ubisoft Sofia;Ubisoft Entertainment;2.9;64.0;assassins-creed-liberation-hd
Assassin's Creed Mirage v1.0.6;Assassin's Creed Mirage;RAWG;2023.0;Vive la historia de Basim, un astuto ladrón callejero que busca respuestas y justicia en el Bagdad del siglo IX. Un regreso a las raíces de la serie, con énfasis en el sigilo, el parkour y el asesinato.;https://media.rawg.io/media/games/fbd/fbd0128013b7965904be571e75fb30c0.jpg;Action;Ubisoft, Ubisoft Montreal, Ubisoft Bordeaux;Ubisoft Entertainment;3.37;;assassins-creed-mirage
Assassin's Creed Unity Gold Edition v1.5.0;Assassin's Creed Unity;RAWG;2014.0;Ambientada en París durante la Revolución Francesa, guía a Arno Dorian por uno de los períodos más convulsos de la historia. Incluye multijugador cooperativo para hasta cuatro jugadores y una enorme recreación en mundo abierto de París.;https://media.rawg.io/media/games/59f/59fc1c5de1d29cb9234741c97d250150.jpg;Action;Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Montpellier;Ubisoft Entertainment;3.63;71.0;assassins-creed-unity-2
Assassin's Creed - Director's Cut;Assassin's Creed: Director's Cut Edition;RAWG;2008.0;Assassin's Creed sigue el enfrentamiento entre Asesinos y Templarios a través de los ojos de Altaïr Ibn-La'Ahad, un asesino en las Cruzadas, y Desmond Miles, un barman moderno que revive los recuerdos de su ancestro mediante el Animus.;https://media.rawg.io/media/games/4b1/4b11e8fc75e054939c29e7319a643600.jpg;Action, Adventure;Ubisoft Montreal;Ubisoft Entertainment;3.92;79.0;assassins-creed-directors-cut-edition
